date,price,market_cap,total_volume
2013-04-28,135.3,1500517590,0
2013-04-29,141.96,1575032004.0,0.0
2013-04-30,135.3,1501657493.0,0.0
2013-05-01,117.0,1298951550.0,0.0
2013-05-02,103.43,1148667722.0,0.0
2013-05-03,91.01,1011066494.0,0.0
2013-05-04,111.25,1236351844.0,0.0
2013-05-05,116.79,1298377788.0,0.0
2013-05-06,118.33,1315992304.0,0.0
2013-05-07,106.4,1183766500.0,0.0
2013-05-08,112.64,1253655040.0,0.0
2013-05-09,113.0,1258130700.0,0.0
2013-05-10,118.78,1322989457.0,0.0
2013-05-11,113.01,1259239352.0,0.0
2013-05-12,114.713,1278708679.0,0.0
2013-05-13,117.18,1306721052.0,0.0
2013-05-14,114.5,1277278988.0,0.0
2013-05-15,114.156,1273849681.0,0.0
2013-05-16,115.5,1289277412.0,0.0
2013-05-17,123.1,1374605382.0,0.0
2013-05-18,123.88,1383755085.0,0.0
2013-05-19,120.501,1346499262.0,0.0
2013-05-20,122.58,1370131821.0,0.0
2013-05-21,122.9,1374154118.0,0.0
2013-05-22,123.0,1375791900.0,0.0
2013-05-23,125.748,1407041528.0,0.0
2013-05-24,131.7,1474180657.0,0.0
2013-05-25,130.77,1464316690.0,0.0
2013-05-26,134.6,1507769010.0,0.0
2013-05-27,128.985,1445444606.0,0.0
2013-05-28,129.179,1448115967.0,0.0
2013-05-29,132.13,1481781795.0,0.0
2013-05-30,127.401,1429308634.0,0.0
2013-05-31,127.98,1436386730.0,0.0
2013-06-01,129.09,1449499974.0,0.0
2013-06-02,121.3,1362684200.0,0.0
2013-06-03,121.16,1361765704.0,0.0
2013-06-05,121.309,1364113640.0,0.0
2013-06-06,121.714,1369233814.0,0.0
2013-06-07,119.0,1339234925.0,0.0
2013-06-08,110.09,1239395972.0,0.0
2013-06-09,108.401,1220874393.0,0.0
2013-06-10,99.7497,1123844958.0,0.0
2013-06-11,105.99,1194605341.0,0.0
2013-06-12,108.9,1227904672.0,0.0
2013-06-13,108.4,1222819750.0,0.0
2013-06-14,102.769,1159766150.0,0.0
2013-06-15,98.399,1110902570.0,0.0
2013-06-16,99.99,1129287060.0,0.0
2013-06-17,100.42,1134610433.0,0.0
2013-06-18,102.0,1152834600.0,0.0
2013-06-19,106.55,1204638318.0,0.0
2013-06-20,107.9,1220273470.0,0.0
2013-06-21,110.91,1254733148.0,0.0
2013-06-22,109.015,1233750009.0,0.0
2013-06-23,107.25,1214260369.0,0.0
2013-06-24,108.0,1223181000.0,0.0
2013-06-25,102.443,1160635652.0,0.0
2013-06-26,103.691,1175194910.0,0.0
2013-06-27,103.39,1172207388.0,0.0
2013-06-28,99.66,1130338737.0,0.0
2013-06-29,93.3311,1058953327.0,0.0
2013-06-30,95.3886,1082693996.0,0.0
2013-07-01,97.504,1107084792.0,0.0
2013-07-02,89.489,1016445146.0,0.0
2013-07-03,90.797,1031653673.0,0.0
2013-07-04,78.8,895707780.0,0.0
2013-07-05,78.48,892405890.0,0.0
2013-07-06,67.809,771368060.0,0.0
2013-07-07,68.0831,774804401.0,0.0
2013-07-08,77.502,882356395.0,0.0
2013-07-09,76.3915,870081997.0,0.0
2013-07-10,77.0,877378425.0,0.0
2013-07-11,85.75,977479256.0,0.0
2013-07-12,93.804,1069724400.0,0.0
2013-07-13,88.0622,1004551934.0,0.0
2013-07-14,95.58,1090715949.0,0.0
2013-07-15,94.0,1073073450.0,0.0
2013-07-16,97.301,1111179853.0,0.0
2013-07-17,98.9796,1130735527.0,0.0
2013-07-18,97.8,1117707300.0,0.0
2013-07-19,88.7869,1015062893.0,0.0
2013-07-20,91.572,1047311253.0,0.0
2013-07-21,89.28,1021492656.0,0.0
2013-07-22,90.3672,1034399451.0,0.0
2013-07-23,91.7024,1050054379.0,0.0
2013-07-24,94.5806,1083333286.0,0.0
2013-07-25,94.525,1083076902.0,0.0
2013-07-26,96.9499,1111232483.0,0.0
2013-07-27,94.13,1079278107.0,0.0
2013-07-28,94.005,1078286703.0,0.0
2013-07-29,98.5759,1131111629.0,0.0
2013-07-30,101.5,1165105812.0,0.0
2013-07-31,110.34,1267183179.0,0.0
2013-08-01,106.23,1220481782.0,0.0
2013-08-02,101.61,1167849454.0,0.0
2013-08-03,103.7,1192378895.0,0.0
2013-08-04,104.86,1206152150.0,0.0
2013-08-05,106.56,1226188584.0,0.0
2013-08-06,105.841,1218425716.0,0.0
2013-08-07,106.75,1229098150,0
2013-08-08,101.672,1171586790.0,0.0
2013-08-09,103.4,1192028805.0,0.0
2013-08-10,102.71,1184605785.0,0.0
2013-08-11,103.77,1197378682.0,0.0
2013-08-12,105.18,1214268916.0,0.0
2013-08-13,106.068,1225008501.0,0.0
2013-08-14,111.621,1289602061.0,0.0
2013-08-15,111.87,1292943118.0,0.0
2013-08-16,109.867,1270257534.0,0.0
2013-08-17,112.74,1304015666.0,0.0
2013-08-18,114.4,1323762440.0,0.0
2013-08-19,118.782,1375023402.0,0.0
2013-08-20,120.5,1395441212.0,0.0
2013-08-21,121.51,1407757143.0,0.0
2013-08-22,122.499,1419858347.0,0.0
2013-08-23,120.0,1391517000.0,0.0
2013-08-24,120.44,1397179275.0,0.0
2013-08-25,122.0,1415749000.0,0.0
2013-08-26,122.04,1416676932.0,0.0
2013-08-27,125.67,1459371151.0,0.0
2013-08-28,123.02,1429111038.0,0.0
2013-08-29,123.44,1434594992.0,0.0
2013-08-30,129.2,1502172870.0,0.0
2013-08-31,137.76,1602407100.0,0.0
2013-09-01,138.17,1607960283.0,0.0
2013-09-02,137.17,1597132036.0,0.0
2013-09-03,137.51,1601702729.0,0.0
2013-09-04,135.21,1575534525.0,0.0
2013-09-05,129.96,1514888487.0,0.0
2013-09-06,126.13,1470861842.0,0.0
2013-09-07,123.73,1443353756.0,0.0
2013-09-08,121.77,1420952396.0,0.0
2013-09-09,126.4,1475596760.0,0.0
2013-09-10,127.78,1492304286.0,0.0
2013-09-11,131.65,1538132775.0,0.0
2013-09-12,134.22,1568874092.0,0.0
2013-09-13,135.05,1579271324.0,0.0
2013-09-14,131.39,1537187451.0,0.0
2013-09-15,129.95,1520967287.0,0.0
2013-09-16,131.48,1539430293.0,0.0
2013-09-17,131.31,1538014334.0,0.0
2013-09-18,132.06,1547280990.0,0.0
2013-09-19,130.23,1526484433.0,0.0
2013-09-20,128.57,1507618248.0,0.0
2013-09-21,126.78,1487211807.0,0.0
2013-09-22,128.37,1506534274.0,0.0
2013-09-23,126.73,1487984454.0,0.0
2013-09-24,126.09,1481135098.0,0.0
2013-09-25,127.99,1504122481.0,0.0
2013-09-26,128.02,1505025524.0,0.0
2013-09-27,131.84,1550524096.0,0.0
2013-09-28,133.93,1575663012.0,0.0
2013-09-29,140.28,1650965841.0,0.0
2013-09-30,131.65,1549941780.0,0.0
2013-10-01,132.55,1561200410.0,0.0
2013-10-02,132.04,1555751397.0,0.0
2013-10-03,123.07,1450746083.0,0.0
2013-10-04,128.26,1512486811.0,0.0
2013-10-05,129.57,1528611793.0,0.0
2013-10-06,127.56,1505549223.0,0.0
2013-10-07,128.38,1515724889.0,0.0
2013-10-08,125.72,1484816060.0,0.0
2013-10-09,130.9,1546580228.0,0.0
2013-10-10,129.68,1532820842.0,0.0
2013-10-11,130.27,1540367845.0,0.0
2013-10-12,135.35,1601082220.0,0.0
2013-10-13,135.48,1603402413.0,0.0
2013-10-14,140.48,1663458800.0,0.0
2013-10-15,143.89,1704751164.0,0.0
2013-10-16,143.61,1702245233.0,0.0
2013-10-17,146.15,1732995548.0,0.0
2013-10-18,151.34,1795176162.0,0.0
2013-10-19,170.51,2023531688.0,0.0
2013-10-20,172.01,2042261829.0,0.0
2013-10-21,181.41,2154778910.0,0.0
2013-10-22,193.45,2298993654.0,0.0
2013-10-23,206.78,2458505640.0,0.0
2013-10-24,198.8,2364666360.0,0.0
2013-10-25,172.48,2052637048.0,0.0
2013-10-26,178.96,2130644072.0,0.0
2013-10-27,189.83,2260913266.0,0.0
2013-10-28,198.55,2365643830.0,0.0
2013-10-29,204.39,2436022215.0,0.0
2013-10-30,204.2,2434768490.0,0.0
2013-10-31,203.88,2432069229.0,0.0
2013-11-01,205.26,2449516394.0,0.0
2013-11-02,206.89,2470106260.0,0.0
2013-11-03,212.45,2537555912.0,0.0
2013-11-04,226.28,2703825377.0,0.0
2013-11-05,230.63,2756789579.0,0.0
2013-11-06,260.85,3119094311.0,0.0
2013-11-07,295.63,3536067384.0,0.0
2013-11-08,332.02,3972444990.0,0.0
2013-11-09,358.0,4284552950.0,0.0
2013-11-10,313.0,3747322075.0,0.0
2013-11-11,340.55,4078792891.0,0.0
2013-11-12,355.48,4259334699.0,0.0
2013-11-13,404.17,4844512975.0,0.0
2013-11-14,408.84,4902328893.0,0.0
2013-11-15,424.16,5087746180.0,0.0
2013-11-16,437.41,5248843453.0,0.0
2013-11-17,488.36,5862542038.0,0.0
2013-11-18,580.87,6975450004.0,0.0
2013-11-19,614.4,7380464640.0,0.0
2013-11-20,565.34,6793450510.0,0.0
2013-11-21,675.06,8114440594.0,0.0
2013-11-22,731.15,8790506777,0
2013-11-23,819.31,9853534129.0,0.0
2013-11-24,764.43,9196532447.0,0.0
2013-11-25,793.07,9544775891.0,0.0
2013-11-26,832.93,10028164851.0,0.0
2013-11-27,914.13,11009416068.0,0.0
2013-11-28,979.08,11795833455.0,0.0
2013-11-29,1101.83,13280659993.0,0.0
2013-11-30,1127.45,13593664650.0,0.0
2013-12-01,1033.39,12464724345.0,0.0
2013-12-02,974.03,11753157346.0,0.0
2013-12-03,1078.64,13020236474.0,0.0
2013-12-04,1121.48,13542487814.0,0.0
2013-12-05,989.04,11947405392.0,0.0
2013-12-06,1019.66,12322234219.0,0.0
2013-12-07,811.98,9816777302.0,0.0
2013-12-08,743.11,8987358118.0,0.0
2013-12-09,897.89,10863885372.0,0.0
2013-12-10,927.78,11230173843.0,0.0
2013-12-11,887.08,10741252534.0,0.0
2013-12-12,878.17,10636987805.0,0.0
2013-12-13,897.27,10872198158.0,0.0
2013-12-14,866.99,10509219285.0,0.0
2013-12-15,854.62,10363485334.0,0.0
2013-12-16,789.15,9573257565.0,0.0
2013-12-17,691.65,8393847109.0,0.0
2013-12-18,559.36,6791343584.0,0.0
2013-12-19,677.84,8233502182.0,0.0
2013-12-20,694.25,8436421862.0,0.0
2013-12-21,596.12,7246404914.0,0.0
2013-12-22,650.27,7907201916.0,0.0
2013-12-23,645.75,7854951431.0,0.0
2013-12-24,659.94,8030446893.0,0.0
2013-12-25,668.74,8140337961.0,0.0
2013-12-26,734.59,8944973877.0,0.0
2013-12-27,734.27,8944473292.0,62881800.0
2013-12-28,738.81,9002769255.0,28121600.0
2013-12-29,726.47,8855251580.0,27018300.0
2013-12-30,760.52,9270681761.0,24717100.0
2013-12-31,755.16,9205343763.0,21903500.0
2014-01-01,767.74,9358693020.0,23448600.0
2014-01-02,772.53,9417082760.0,16837800.0
2014-01-03,825.47,10062417390.0,54171500.0
2014-01-04,849.14,10350952914.0,36344700.0
2014-01-05,919.41,11207538944.0,62414600.0
2014-01-06,936.38,11414401972.0,88584600.0
2014-01-07,826.5,10107681750.0,80268100.0
2014-01-08,838.32,10256342208.0,78060300.0
2014-01-09,853.29,10443906952.0,58813600.0
2014-01-10,863.3,10570439442.0,29763600.0
2014-01-11,905.72,11094594497.0,48299500.0
2014-01-12,867.45,10630187711.0,40171100.0
2014-01-13,840.96,10309307616.0,42950500.0
2014-01-14,838.05,10276902394.0,23469400.0
2014-01-15,860.44,10555404678.0,28600400.0
2014-01-16,837.98,10283900055.0,18719700.0
2014-01-17,812.9,9979241690.0,39266000.0
2014-01-18,840.0,10315662000.0,18052700.0
2014-01-19,838.17,10293335273.0,17574100.0
2014-01-20,869.15,10677333920.0,25421600.0
2014-01-21,869.57,10686776168.0,26779700.0
2014-01-22,865.03,10635024832.0,17879900.0
2014-01-23,846.97,10417265166.0,18412100.0
2014-01-24,808.32,9945387408.0,20176000.0
2014-01-25,804.39,9900713656.0,31742800.0
2014-01-26,853.51,10508799200.0,22676800.0
2014-01-27,891.86,10984370725.0,32539200.0
2014-01-28,777.0,9573533550.0,61878700.0
2014-01-29,816.85,10067676250.0,33409200.0
2014-01-30,817.17,10074827642.0,16261700.0
2014-01-31,817.93,10087796517.0,31107400.0
