symbol,date,price
VNINDEX,2020-02-19,928.76
VNINDEX,2020-02-20,938.13
VNINDEX,2020-02-21,933.09
VNINDEX,2020-02-24,903.34
VNINDEX,2020-02-25,909.67
VNINDEX,2020-02-26,895.97
VNINDEX,2020-02-27,898.44
VNINDEX,2020-02-28,882.19
VNINDEX,2020-03-02,884.43
VNINDEX,2020-03-03,890.61
VNINDEX,2020-03-04,889.37
VNINDEX,2020-03-05,893.31
VNINDEX,2020-03-06,891.44
VNINDEX,2020-03-09,835.49
VNINDEX,2020-03-10,837.5
VNINDEX,2020-03-11,811.35
VNINDEX,2020-03-12,769.25
VNINDEX,2020-03-13,761.78
VNINDEX,2020-03-16,747.86
VNINDEX,2020-03-17,745.78
VNINDEX,2020-03-18,747.66
VNINDEX,2020-03-19,725.94
VNINDEX,2020-03-20,709.73
VNINDEX,2020-03-23,666.59
VNINDEX,2020-03-24,659.21
VNINDEX,2020-03-25,690.25
VNINDEX,2020-03-26,694.21
VNINDEX,2020-03-27,696.06
VNINDEX,2020-03-30,662.26
VNINDEX,2020-03-31,662.53
VNINDEX,2020-04-01,680.23
VNINDEX,2020-04-03,701.8
VNINDEX,2020-04-06,736.75
VNINDEX,2020-04-07,746.69
VNINDEX,2020-04-08,748.02
VNINDEX,2020-04-09,760.33
VNINDEX,2020-04-10,757.94
VNINDEX,2020-04-13,765.79
VNINDEX,2020-04-14,767.41
VNINDEX,2020-04-15,777.22
VNINDEX,2020-04-16,780.7
VNINDEX,2020-04-17,789.6
VNINDEX,2020-04-20,794.97
VNINDEX,2020-04-21,766.84
VNINDEX,2020-04-22,768.92
VNINDEX,2020-04-23,773.91
VNINDEX,2020-04-24,776.66
VNINDEX,2020-04-27,770.77
VNINDEX,2020-04-28,767.21
VNINDEX,2020-04-29,769.11
VNINDEX,2020-05-04,762.47
VNINDEX,2020-05-05,764.16
VNINDEX,2020-05-06,782.59
VNINDEX,2020-05-07,796.54
VNINDEX,2020-05-08,813.73
VNINDEX,2020-05-11,828.33
VNINDEX,2020-05-12,835.32
VNINDEX,2020-05-13,834.21
VNINDEX,2020-05-14,832.4
VNINDEX,2020-05-15,827.03
VNINDEX,2020-05-18,837.01
VNINDEX,2020-05-19,845.92
VNINDEX,2020-05-20,852.91
VNINDEX,2020-05-21,862.73
VNINDEX,2020-05-22,852.74
VNINDEX,2020-05-25,859.04
VNINDEX,2020-05-26,869.13
VNINDEX,2020-05-27,857.48
VNINDEX,2020-05-28,861.39
VNINDEX,2020-05-29,864.47
VNINDEX,2020-06-01,878.67
VNINDEX,2020-06-02,874.8
VNINDEX,2020-06-03,881.17
VNINDEX,2020-06-04,883.9
VNINDEX,2020-06-05,886.22
VNINDEX,2020-06-08,899.92
VNINDEX,2020-06-09,899.43
VNINDEX,2020-06-10,900
VNINDEX,2020-06-11,867.37
VNINDEX,2020-06-12,863.52
VNINDEX,2020-06-15,832.47
VNINDEX,2020-06-16,856.13
VNINDEX,2020-06-17,854.44
VNINDEX,2020-06-18,855.27
VNINDEX,2020-06-19,868.56
VNINDEX,2020-06-22,871.28
VNINDEX,2020-06-23,868.2
VNINDEX,2020-06-24,859.71
VNINDEX,2020-06-25,854.59
VNINDEX,2020-06-26,851.98
VNINDEX,2020-06-29,829.36
VNINDEX,2020-06-30,825.11
VNINDEX,2020-07-01,843.49
VNINDEX,2020-07-02,842.38
VNINDEX,2020-07-03,847.61
VNINDEX,2020-07-06,861.16
VNINDEX,2020-07-07,863.42
VNINDEX,2020-07-08,864.5
VNINDEX,2020-07-09,876.46
VNINDEX,2020-07-10,871.21
VNINDEX,2020-07-13,868.72
VNINDEX,2020-07-14,868.11
VNINDEX,2020-07-15,869.91
VNINDEX,2020-07-16,876.83
VNINDEX,2020-07-17,872.02
VNINDEX,2020-07-20,861.4
VNINDEX,2020-07-21,861.69
VNINDEX,2020-07-22,855.08
VNINDEX,2020-07-23,856.75
VNINDEX,2020-07-24,829.16
VNINDEX,2020-07-27,785.17
VNINDEX,2020-07-28,813.36
VNINDEX,2020-07-29,790.84
VNINDEX,2020-07-30,801.13
VNINDEX,2020-07-31,798.39
VNINDEX,2020-08-03,814.65
VNINDEX,2020-08-04,827.57
VNINDEX,2020-08-05,837.8
VNINDEX,2020-08-06,840.04
VNINDEX,2020-08-07,841.46
VNINDEX,2020-08-10,843.2
VNINDEX,2020-08-11,843.08
VNINDEX,2020-08-12,846.92
VNINDEX,2020-08-13,855.05
VNINDEX,2020-08-14,850.74
VNINDEX,2020-08-17,850.15
VNINDEX,2020-08-18,846.43
VNINDEX,2020-08-19,851.21
VNINDEX,2020-08-20,848.21
VNINDEX,2020-08-21,854.78
VNINDEX,2020-08-24,868.68
VNINDEX,2020-08-25,874.12
VNINDEX,2020-08-26,873.47
VNINDEX,2020-08-27,874.71
VNINDEX,2020-08-28,878.98
VNINDEX,2020-08-31,881.65
VNINDEX,2020-09-01,891.73
VNINDEX,2020-09-03,903.97
VNINDEX,2020-09-04,901.54
VNINDEX,2020-09-07,888.25
VNINDEX,2020-09-08,890.14
VNINDEX,2020-09-09,889.32
VNINDEX,2020-09-10,888.82
VNINDEX,2020-09-11,888.97
VNINDEX,2020-09-14,894.57
VNINDEX,2020-09-15,896.26
VNINDEX,2020-09-16,897.47
VNINDEX,2020-09-17,894.04
VNINDEX,2020-09-18,900.95
VNINDEX,2020-09-21,907.94
VNINDEX,2020-09-22,906.19
VNINDEX,2020-09-23,912.5
VNINDEX,2020-09-24,908.58
VNINDEX,2020-09-25,908.27
VNINDEX,2020-09-28,912.5
VNINDEX,2020-09-29,905.28
VNINDEX,2020-09-30,905.21
VNINDEX,2020-10-01,914.09
VNINDEX,2020-10-02,909.91
VNINDEX,2020-10-05,914.68
VNINDEX,2020-10-06,915.67
VNINDEX,2020-10-07,919.72
VNINDEX,2020-10-08,918.84
VNINDEX,2020-10-09,924
VNINDEX,2020-10-12,925.83
VNINDEX,2020-10-13,929.86
VNINDEX,2020-10-14,940.18
VNINDEX,2020-10-15,942.76
VNINDEX,2020-10-16,943.3
VNINDEX,2020-10-19,943.69
VNINDEX,2020-10-20,944.42
VNINDEX,2020-10-21,939.03
VNINDEX,2020-10-22,949.9
VNINDEX,2020-10-23,961.26
VNINDEX,2020-10-26,950.8
VNINDEX,2020-10-27,946.47
VNINDEX,2020-10-28,921.05
VNINDEX,2020-10-29,919.08
VNINDEX,2020-10-30,925.47
VNINDEX,2020-11-02,933.68
VNINDEX,2020-11-03,935.41
VNINDEX,2020-11-04,939.76
VNINDEX,2020-11-05,937.75
VNINDEX,2020-11-06,938.29
VNINDEX,2020-11-09,951.99
VNINDEX,2020-11-10,951.9
VNINDEX,2020-11-11,952.22
VNINDEX,2020-11-12,959.28
VNINDEX,2020-11-13,966.29
VNINDEX,2020-11-16,950.79
VNINDEX,2020-11-17,968.9
VNINDEX,2020-11-18,973.53
VNINDEX,2020-11-19,983.26
VNINDEX,2020-11-20,990
VNINDEX,2020-11-23,994.19
VNINDEX,2020-11-24,995.76
VNINDEX,2020-11-25,999.94
VNINDEX,2020-11-26,1005.97
VNINDEX,2020-11-27,1010.22
VNINDEX,2020-11-30,1003.08
VNINDEX,2020-12-01,1008.87
VNINDEX,2020-12-02,1014.32
VNINDEX,2020-12-03,1019.8
VNINDEX,2020-12-04,1021.49
VNINDEX,2020-12-07,1029.98
VNINDEX,2020-12-08,1029.26
VNINDEX,2020-12-09,1039.13
VNINDEX,2020-12-10,1030.91
VNINDEX,2020-12-11,1045.96
VNINDEX,2020-12-14,1064.09
VNINDEX,2020-12-15,1055.27
VNINDEX,2020-12-16,1066.99
VNINDEX,2020-12-17,1051.77
VNINDEX,2020-12-18,1067.46
VNINDEX,2020-12-21,1081.08
VNINDEX,2020-12-22,1083.45
VNINDEX,2020-12-23,1078.9
VNINDEX,2020-12-24,1067.52
VNINDEX,2020-12-25,1084.42
VNINDEX,2020-12-28,1091.33
VNINDEX,2020-12-29,1099.49
VNINDEX,2020-12-30,1097.54
VNINDEX,2020-12-31,1103.87
VNINDEX,2021-01-04,1120.47
VNINDEX,2021-01-05,1132.55
VNINDEX,2021-01-06,1143.21
VNINDEX,2021-01-07,1156.49
VNINDEX,2021-01-08,1167.6899
VNINDEX,2021-01-11,1184.89
VNINDEX,2021-01-12,1192.28
VNINDEX,2021-01-13,1186.05
VNINDEX,2021-01-14,1187.4
VNINDEX,2021-01-15,1194.2
VNINDEX,2021-01-18,1191.9399
VNINDEX,2021-01-19,1131
VNINDEX,2021-01-20,1134.6801
VNINDEX,2021-01-21,1164.21
VNINDEX,2021-01-22,1166.78
VNINDEX,2021-01-25,1166.05
VNINDEX,2021-01-26,1136.12
VNINDEX,2021-01-27,1097.17
VNINDEX,2021-01-28,1023.94
VNINDEX,2021-01-29,1056.61
VNINDEX,2021-02-01,1035.51
VNINDEX,2021-02-02,1075.53
VNINDEX,2021-02-03,1111.29
VNINDEX,2021-02-04,1112.1899
VNINDEX,2021-02-05,1126.91
VNINDEX,2021-02-08,1083.1801
VNINDEX,2021-02-09,1114.9301
VNINDEX,2021-02-17,1155.78
VNINDEX,2021-02-18,1174.38
VNINDEX,2021-02-19,1173.5
VNINDEX,2021-02-22,1175.04
VNINDEX,2021-02-23,1177.64
VNINDEX,2021-02-24,1162.01
VNINDEX,2021-02-25,1165.4301
VNINDEX,2021-02-26,1168.47
VNINDEX,2021-03-01,1186.17
VNINDEX,2021-03-02,1186.61
VNINDEX,2021-03-03,1186.95
VNINDEX,2021-03-04,1168.52
VNINDEX,2021-03-05,1168.6899
